x-axis,D8-D15
second,
-1.000000000000e-005,  3
-9.999200000000e-006,  3
-9.998400000000e-006,  3
-9.997600000000e-006,  3
-9.996800000000e-006,  3
-9.996000000000e-006,  3
-9.995200000000e-006,  3
-9.994400000000e-006,  3
-9.993600000000e-006,  3
-9.992800000000e-006,  3
-9.992000000000e-006,  3
-9.991200000000e-006,  3
-9.990400000000e-006,  3
-9.989600000000e-006,  3
-9.988800000000e-006,  3
-9.988000000000e-006,  3
-9.987200000000e-006,  3
-9.986400000000e-006,  3
-9.985600000000e-006,  3
-9.984800000000e-006,  3
-9.984000000000e-006,  3
-9.983200000000e-006,  3
-9.982400000000e-006,  3
-9.981600000000e-006,  3
-9.980800000000e-006,  3
-9.980000000000e-006,  3
-9.979200000000e-006,  3
-9.978400000000e-006,  3
-9.977600000000e-006,  3
-9.976800000000e-006,  3
-9.976000000000e-006,  3
-9.975200000000e-006,  3
-9.974400000000e-006,  3
-9.973600000000e-006,  3
-9.972800000000e-006,  3
-9.972000000000e-006,  3
-9.971200000000e-006,  3
-9.970400000000e-006,  3
-9.969600000000e-006,  3
-9.968800000000e-006,  3
-9.968000000000e-006,  3
-9.967200000000e-006,  3
-9.966400000000e-006,  3
-9.965600000000e-006,  3
-9.964800000000e-006,  3
-9.964000000000e-006,  3
-9.963200000000e-006,  3
-9.962400000000e-006,  3
-9.961600000000e-006,  3
-9.960800000000e-006,  3
-9.960000000000e-006,  3
-9.959200000000e-006,  3
-9.958400000000e-006,  3
-9.957600000000e-006,  3
-9.956800000000e-006,  3
-9.956000000000e-006,  3
-9.955200000000e-006,  3
-9.954400000000e-006,  3
-9.953600000000e-006,  3
-9.952800000000e-006,  3
-9.952000000000e-006,  3
-9.951200000000e-006,  3
-9.950400000000e-006,  3
-9.949600000000e-006,  3
-9.948800000000e-006,  3
-9.948000000000e-006,  3
-9.947200000000e-006,  3
-9.946400000000e-006,  3
-9.945600000000e-006,  3
-9.944800000000e-006,  3
-9.944000000000e-006,  3
-9.943200000000e-006,  3
-9.942400000000e-006,  3
-9.941600000000e-006,  3
-9.940800000000e-006,  3
-9.940000000000e-006,  3
-9.939200000000e-006,  3
-9.938400000000e-006,  3
-9.937600000000e-006,  3
-9.936800000000e-006,  3
-9.936000000000e-006,  3
-9.935200000000e-006,  3
-9.934400000000e-006,  3
-9.933600000000e-006,  3
-9.932800000000e-006,  3
-9.932000000000e-006,  3
-9.931200000000e-006,  3
-9.930400000000e-006,  3
-9.929600000000e-006,  3
-9.928800000000e-006,  3
-9.928000000000e-006,  3
-9.927200000000e-006,  3
-9.926400000000e-006,  3
-9.925600000000e-006,  3
-9.924800000000e-006,  3
-9.924000000000e-006,  3
-9.923200000000e-006,  3
-9.922400000000e-006,  3
-9.921600000000e-006,  3
-9.920800000000e-006,  3
-9.920000000000e-006,  3
-9.919200000000e-006,  3
-9.918400000000e-006,  3
-9.917600000000e-006,  3
-9.916800000000e-006,  3
-9.916000000000e-006,  3
-9.915200000000e-006,  3
-9.914400000000e-006,  3
-9.913600000000e-006,  3
-9.912800000000e-006,  3
-9.912000000000e-006,  3
-9.911200000000e-006,  3
-9.910400000000e-006,  3
-9.909600000000e-006,  3
-9.908800000000e-006,  3
-9.908000000000e-006,  3
-9.907200000000e-006,  3
-9.906400000000e-006,  3
-9.905600000000e-006,  3
-9.904800000000e-006,  3
-9.904000000000e-006,  3
-9.903200000000e-006,  3
-9.902400000000e-006,  3
-9.901600000000e-006,  3
-9.900800000000e-006,  3
-9.900000000000e-006,  3
-9.899200000000e-006,  3
-9.898400000000e-006,  3
-9.897600000000e-006,  3
