x-axis,D0-D7
second,
-5.000000000000e-006,135
-4.999200000000e-006,135
-4.998400000000e-006,135
-4.997600000000e-006,135
-4.996800000000e-006,135
-4.996000000000e-006,135
-4.995200000000e-006,135
-4.994400000000e-006,135
-4.993600000000e-006,135
-4.992800000000e-006,135
-4.992000000000e-006,135
-4.991200000000e-006,135
-4.990400000000e-006,135
-4.989600000000e-006,135
-4.988800000000e-006,135
-4.988000000000e-006,135
-4.987200000000e-006,135
-4.986400000000e-006,135
-4.985600000000e-006,135
-4.984800000000e-006,135
-4.984000000000e-006,135
-4.983200000000e-006,135
-4.982400000000e-006,135
-4.981600000000e-006,135
-4.980800000000e-006,135
-4.980000000000e-006,135
-4.979200000000e-006,135
-4.978400000000e-006,135
-4.977600000000e-006,135
-4.976800000000e-006,135
-4.976000000000e-006,135
-4.975200000000e-006,135
-4.974400000000e-006,135
-4.973600000000e-006,135
-4.972800000000e-006,135
-4.972000000000e-006,135
-4.971200000000e-006,135
-4.970400000000e-006,135
-4.969600000000e-006,135
-4.968800000000e-006,135
-4.968000000000e-006,135
-4.967200000000e-006,135
-4.966400000000e-006,135
-4.965600000000e-006,135
-4.964800000000e-006,135
-4.964000000000e-006,135
-4.963200000000e-006,135
-4.962400000000e-006,135
-4.961600000000e-006,135
-4.960800000000e-006,135
-4.960000000000e-006,135
-4.959200000000e-006,135
-4.958400000000e-006,135
-4.957600000000e-006,135
-4.956800000000e-006,135
-4.956000000000e-006,135
-4.955200000000e-006,135
-4.954400000000e-006,135
-4.953600000000e-006,135
-4.952800000000e-006,135
-4.952000000000e-006,135
-4.951200000000e-006,135
-4.950400000000e-006,135
-4.949600000000e-006,135
-4.948800000000e-006,135
-4.948000000000e-006,135
-4.947200000000e-006,135
-4.946400000000e-006,135
-4.945600000000e-006,135
-4.944800000000e-006,135
-4.944000000000e-006,135
-4.943200000000e-006,135
-4.942400000000e-006,135
-4.941600000000e-006,135
-4.940800000000e-006,135
-4.940000000000e-006,135
-4.939200000000e-006,135
-4.938400000000e-006,135
-4.937600000000e-006,135
-4.936800000000e-006,135
-4.936000000000e-006,135
-4.935200000000e-006,135
-4.934400000000e-006,135
-4.933600000000e-006,135
-4.932800000000e-006,135
-4.932000000000e-006,135
-4.931200000000e-006,135
-4.930400000000e-006,135
-4.929600000000e-006,135
-4.928800000000e-006,135
-4.928000000000e-006,135
-4.927200000000e-006,135
-4.926400000000e-006,135
