x-axis,D0-D7
second,
-1.000000000000e-003,192
-9.999680000000e-004,224
-9.999360000000e-004,224
-9.999040000000e-004,  0
-9.998720000000e-004,  0
-9.998400000000e-004,  0
-9.998080000000e-004,  0
-9.997760000000e-004,  0
-9.997440000000e-004,  0
-9.997120000000e-004,  0
-9.996800000000e-004,224
-9.996480000000e-004,225
-9.996160000000e-004,225
-9.995840000000e-004,225
-9.995520000000e-004,225
-9.995200000000e-004,224
-9.994880000000e-004,192
-9.994560000000e-004,225
-9.994240000000e-004,225
-9.993920000000e-004,225
-9.993600000000e-004,224
-9.993280000000e-004,  0
-9.992960000000e-004,225
-9.992640000000e-004,225
-9.992320000000e-004,225
-9.992000000000e-004,225
-9.991680000000e-004,224
-9.991360000000e-004,225
-9.991040000000e-004,225
-9.990720000000e-004,225
-9.990400000000e-004,225
-9.990080000000e-004,225
-9.989760000000e-004,225
-9.989440000000e-004,225
-9.989120000000e-004,225
-9.988800000000e-004,  0
-9.988480000000e-004,  0
-9.988160000000e-004,  0
-9.987840000000e-004,  0
-9.987520000000e-004,  0
-9.987200000000e-004,  0
-9.986880000000e-004,192
-9.986560000000e-004,224
-9.986240000000e-004,230
-9.985920000000e-004,230
-9.985600000000e-004,230
-9.985280000000e-004,224
-9.984960000000e-004,  0
-9.984640000000e-004,230
-9.984320000000e-004,230
-9.984000000000e-004,230
-9.983680000000e-004,230
-9.983360000000e-004,  0
-9.983040000000e-004,230
-9.982720000000e-004,230
-9.982400000000e-004,230
-9.982080000000e-004,230
-9.981760000000e-004,224
-9.981440000000e-004,228
-9.981120000000e-004,230
-9.980800000000e-004,230
-9.980480000000e-004,230
-9.980160000000e-004,230
-9.979840000000e-004,224
-9.979520000000e-004,230
-9.979200000000e-004,230
-9.978880000000e-004,  0
-9.978560000000e-004,  0
-9.978240000000e-004,  0
-9.977920000000e-004,  0
-9.977600000000e-004,  0
-9.977280000000e-004,  0
-9.976960000000e-004,  0
-9.976640000000e-004,  0
-9.976320000000e-004,232
-9.976000000000e-004,232
-9.975680000000e-004,232
-9.975360000000e-004,232
-9.975040000000e-004,  0
-9.974720000000e-004,232
-9.974400000000e-004,232
-9.974080000000e-004,232
-9.973760000000e-004,232
-9.973440000000e-004,  0
-9.973120000000e-004,224
-9.972800000000e-004,232
-9.972480000000e-004,232
-9.972160000000e-004,232
-9.971840000000e-004,224
-9.971520000000e-004,224
-9.971200000000e-004,232
-9.970880000000e-004,232
-9.970560000000e-004,232
-9.970240000000e-004,232
-9.969920000000e-004,224
-9.969600000000e-004,232
-9.969280000000e-004,232
-9.968960000000e-004,  0
-9.968640000000e-004,  0
-9.968320000000e-004,  0
-9.968000000000e-004,  0
-9.967680000000e-004,  0
-9.967360000000e-004,  0
-9.967040000000e-004,  0
-9.966720000000e-004,  0
-9.966400000000e-004,233
-9.966080000000e-004,235
-9.965760000000e-004,235
-9.965440000000e-004,235
-9.965120000000e-004,  0
-9.964800000000e-004,104
-9.964480000000e-004,235
-9.964160000000e-004,235
-9.963840000000e-004,235
-9.963520000000e-004,  0
-9.963200000000e-004,  0
-9.962880000000e-004,235
-9.962560000000e-004,235
-9.962240000000e-004,235
-9.961920000000e-004,235
-9.961600000000e-004,  0
-9.961280000000e-004,235
-9.960960000000e-004,235
-9.960640000000e-004,235
-9.960320000000e-004,235
-9.960000000000e-004,224
-9.959680000000e-004,235
-9.959360000000e-004,235
-9.959040000000e-004,  0
-9.958720000000e-004,  0
-9.958400000000e-004,  0
-9.958080000000e-004,  0
-9.957760000000e-004,  0
-9.957440000000e-004,  0
-9.957120000000e-004,  0
-9.956800000000e-004,  0
-9.956480000000e-004,232
-9.956160000000e-004,236
-9.955840000000e-004,236
-9.955520000000e-004,236
-9.955200000000e-004,  0
-9.954880000000e-004,  0
-9.954560000000e-004,236
-9.954240000000e-004,236
-9.953920000000e-004,236
-9.953600000000e-004,232
-9.953280000000e-004,  0
-9.952960000000e-004,236
-9.952640000000e-004,236
-9.952320000000e-004,236
-9.952000000000e-004,236
-9.951680000000e-004, 64
-9.951360000000e-004,236
-9.951040000000e-004,236
-9.950720000000e-004,236
-9.950400000000e-004,236
-9.950080000000e-004,232
-9.949760000000e-004,232
-9.949440000000e-004,236
-9.949120000000e-004,236
-9.948800000000e-004,  0
-9.948480000000e-004,  0
-9.948160000000e-004,  0
-9.947840000000e-004,  0
-9.947520000000e-004,  0
-9.947200000000e-004,  0
-9.946880000000e-004,  0
-9.946560000000e-004, 64
-9.946240000000e-004,241
-9.945920000000e-004,241
-9.945600000000e-004,241
-9.945280000000e-004,224
