x-axis,D8-D15
second,
-0.0091872,9
-0.0091868,0
-0.0091864,9
-0.009186,9
-0.0091856,9
-0.0091852,9
-0.0091848,0
-0.0091844,9
-0.009184,9
-0.0091836,9
-0.0091832,9
-0.0091828,0
-0.0091824,9
-0.009182,9
-0.0091816,9
-0.0091812,9
-0.0091808,0
-0.0091804,9
-0.00918,9
-0.0091796,9
-0.0091792,9
-0.0091788,0
-0.0091784,9
-0.009178,9
-0.0091776,9
-0.0091772,9
-0.0091768,0
-0.0091764,9
-0.009176,9
-0.0091756,9
-0.0091752,9
-0.0091748,0
-0.0091744,9
-0.009174,9
-0.0091736,9
-0.0091732,9
-0.0091728,0
-0.0091724,9
-0.009172,9
-0.0091716,9
-0.0091712,9
-0.0091708,0
-0.0091704,9
-0.00917,9
-0.0091696,9
-0.0091692,9
-0.0091688,0
-0.0091684,9
-0.009168,9
-0.0091676,9
-0.0091672,9
-0.0091668,0
-0.0091664,9
-0.009166,9
-0.0091656,9
-0.0091652,9
-0.0091648,0
-0.0091644,9
-0.009164,9
-0.0091636,9
-0.0091632,9
-0.0091628,0
-0.0091624,9
-0.009162,9
-0.0091616,9
-0.0091612,9
-0.0091608,0
-0.0091604,9
-0.00916,9
-0.0091596,9
-0.0091592,9
-0.0091588,0
-0.0091584,9
-0.009158,9
-0.0091576,9
-0.0091572,9
-0.0091568,0
-0.0091564,9
-0.009156,9
-0.0091556,9
-0.0091552,9
-0.0091548,0
-0.0091544,9
-0.009154,9
-0.0091536,9
-0.0091532,9
-0.0091528,0
-0.0091524,9
-0.009152,9
-0.0091516,9
-0.0091512,9
-0.0091508,0
-0.0091504,9
-0.00915,9
-0.0091496,9
-0.0091492,9
-0.0091488,0
-0.0091484,9
-0.009148,9
-0.0091476,9
-0.0091472,9
-0.0091468,0
-0.0091464,9
-0.009146,9
-0.0091456,9
-0.0091452,9
-0.0091448,0
-0.0091444,9
-0.009144,9
-0.0091436,9
-0.0091432,9
-0.0091428,0
-0.0091424,9
-0.009142,9
-0.0091416,9
-0.0091412,9
-0.0091408,0
-0.0091404,9
-0.00914,9
-0.0091396,9
-0.0091392,9
-0.0091388,0
-0.0091384,9
-0.009138,9
-0.0091376,9
-0.0091372,9
-0.0091368,0
-0.0091364,9
-0.009136,9
-0.0091356,9
-0.0091352,9
-0.0091348,0
-0.0091344,9
-0.009134,9
-0.0091336,9
-0.0091332,9
-0.0091328,0
-0.0091324,9
-0.009132,9
-0.0091316,9
-0.0091312,9
-0.0091308,0
-0.0091304,9
-0.00913,9
-0.0091296,9
-0.0091292,9
-0.0091288,0
-0.0091284,9
-0.009128,9
-0.0091276,9
-0.0091272,9
-0.0091268,0
-0.0091264,9
-0.009126,9
-0.0091256,9
-0.0091252,9
-0.0091248,0
-0.0091244,9
-0.009124,9
-0.0091236,9
-0.0091232,9
-0.0091228,0
-0.0091224,9
-0.009122,9
-0.0091216,9
-0.0091212,9
-0.0091208,0
-0.0091204,9
-0.00912,9
-0.0091196,9
-0.0091192,9
-0.0091188,0
-0.0091184,9
-0.009118,9
-0.0091176,9
-0.0091172,9
-0.0091168,0
-0.0091164,9
-0.009116,9
-0.0091156,9
-0.0091152,9
-0.0091148,0
-0.0091144,9
-0.009114,9
-0.0091136,9
-0.0091132,9
-0.0091128,0
-0.0091124,9
-0.009112,9
-0.0091116,9
-0.0091112,9
-0.0091108,0
-0.0091104,9
-0.00911,9
-0.0091096,9
-0.0091092,9
-0.0091088,0
-0.0091084,9
-0.009108,9
-0.0091076,9
-0.0091072,9
-0.0091068,0
-0.0091064,9
-0.009106,9
-0.0091056,9
-0.0091052,9
-0.0091048,0
-0.0091044,9
-0.009104,9
-0.0091036,9
-0.0091032,9
-0.0091028,0
-0.0091024,9
-0.009102,9
-0.0091016,9
-0.0091012,9
-0.0091008,0
-0.0091004,9
-0.0091,9
-0.0090996,9
-0.0090992,9
-0.0090988,0
-0.0090984,9
-0.009098,9
-0.0090976,9
-0.0090972,9
-0.0090968,0
-0.0090964,9
-0.009096,9
-0.0090956,9
-0.0090952,9
-0.0090948,0
-0.0090944,9
-0.009094,9
-0.0090936,9
-0.0090932,9
-0.0090928,0
-0.0090924,9
-0.009092,9
-0.0090916,9
-0.0090912,9
-0.0090908,0
-0.0090904,9
-0.00909,9
-0.0090896,9
-0.0090892,9
-0.0090888,0
-0.0090884,9
-0.009088,9
-0.0090876,9
-0.0090872,9
-0.0090868,0
-0.0090864,9
-0.009086,9
-0.0090856,9
-0.0090852,9
-0.0090848,0
-0.0090844,9
-0.009084,9
-0.0090836,9
-0.0090832,9
-0.0090828,0
-0.0090824,9
-0.009082,9
-0.0090816,9
-0.0090812,9
-0.0090808,0
-0.0090804,9
-0.00908,9
-0.0090796,9
-0.0090792,9
-0.0090788,0
-0.0090784,9
-0.009078,9
-0.0090776,9
-0.0090772,9
-0.0090768,0
-0.0090764,9
-0.009076,9
-0.0090756,9
-0.0090752,9
-0.0090748,0
-0.0090744,9
-0.009074,9
-0.0090736,9
-0.0090732,9
-0.0090728,0
-0.0090724,9
-0.009072,9
-0.0090716,9
-0.0090712,9
-0.0090708,0
-0.0090704,9
-0.00907,9
-0.0090696,9
-0.0090692,9
-0.0090688,0
-0.0090684,9
-0.009068,9
-0.0090676,9
-0.0090672,9
-0.0090668,0
-0.0090664,9
-0.009066,9
-0.0090656,9
-0.0090652,9
-0.0090648,0
-0.0090644,9
-0.009064,9
